nodes;coordX;coordY
943587328;0.6769722;47.3501859
3171680257;0.6848996;47.4113744
3353870338;0.6911951;47.3899513
3353870339;0.6910313;47.389959
943587329;0.677834;47.3502204
3411148807;0.7355903;47.323585
3411148808;0.735292;47.3237078
3353870344;0.693936;47.3903291
1816002570;0.4466725;47.3893001
3353870343;0.6941836;47.3901161
3411148813;0.7237828;47.3265081
3353870350;0.6933637;47.3906297
3353870351;0.6933197;47.3906303
3353870349;0.6932837;47.3906292
3353870353;0.6935416;47.3906697
3353870354;0.6937024;47.3906939
3353870355;0.6920005;47.3907987
3353870356;0.6936626;47.3908281
3353870357;0.6936815;47.3910268
943587350;0.6778055;47.3501286
3353870359;0.6935828;47.4022039
3353870360;0.6935785;47.4022116
3353870361;0.6839117;47.4022329
3353870362;0.6840306;47.4022546
3411148827;0.7466161;47.3322027
3353870364;0.6934666;47.4026084
3353870363;0.6934959;47.4025257
943587354;0.6806148;47.3459622
3411148831;0.7466451;47.3322428
3353870368;0.6825656;47.4055299
3353870369;0.6826934;47.4055545
3353870370;0.6827677;47.4055684
3353870373;0.681318;47.4085782
3353870374;0.6814484;47.4086018
3353870375;0.6804018;47.4093874
3353870376;0.6802544;47.40939
1332084776;0.6685438;47.4006477
3353870378;0.6803145;47.4094396
3353870382;0.67963;47.4096811
1332084786;0.6722804;47.4004753
943587378;0.6779172;47.3498637
1332084793;0.6686082;47.4004941
943587388;0.6770919;47.350025
1332084807;0.6688256;47.4003569
943587414;0.6777821;47.3502647
1332084833;0.6684761;47.4003668
3796107374;0.6431953;47.3967492
943587441;0.6790315;47.3487121
1332084852;0.6671683;47.4001975
943587445;0.677824;47.3504407
3796107396;0.6456769;47.3980097
2990014608;0.6656995;47.3613316
2990014609;0.665022;47.3615615
2990014611;0.6661455;47.3615998
3796107413;0.6458561;47.3946901
9654763670;0.6975923;47.4174411
9654763671;0.6971705;47.4174692
3796107416;0.6446716;47.392442
3796107414;0.6462032;47.3941922
845938842;0.6551304;47.3343181
3796107418;0.6405991;47.3916056
943587479;0.6784564;47.3505306
845938845;0.6551716;47.3347463
943587480;0.6773258;47.3497105
845938847;0.6550982;47.334016
269484191;0.6561751;47.3852225
269484193;0.6562005;47.3853417
687210650;0.6641731;47.299617
943587491;0.6843545;47.3456815
845938854;0.6531931;47.3346506
3796107431;0.6456475;47.3959533
3796107437;0.6459451;47.3958354
3796107446;0.6454046;47.3956108
3796107449;0.6453647;47.3958161
5317329096;0.4975422;47.3622752
5317329097;0.4978317;47.3624187
5317329098;0.4990035;47.3633041
269484238;0.6573381;47.3857151
269484241;0.6593485;47.3865507
8921809110;0.5392315;47.3919084
8921809111;0.5388461;47.391753
5317329113;0.4955401;47.3615193
943587550;0.6771844;47.3499007
6947864800;0.667799;47.4230094
6947864804;0.6725221;47.4251832
4204790000;0.6127566;47.4071971
4204790001;0.6121123;47.4080745
4204790003;0.6124047;47.4085279
4204790004;0.6091279;47.4080892
269484275;0.662029;47.3876421
2386559224;0.7117635;47.3919217
2386559225;0.7140811;47.3918128
2386559226;0.7120342;47.3923772
